objectid,filename,youtubeid,vimeoid,title,creator,date,location,format,latitude,longitude,source,subject
RaJ_2008-2,,,,Roméo et Juliette (2008),Brian Large,2008,Austria,MovingImage,47.697543,13.349319,IMDb - https://www.imdb.com/title/tt8060678/,Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Drama/Tragedy;Romance;Musical;Opera;Nino Machaidze;Rolando Villazón;Mikhail Petrenko;Russell Braun;Cora Burggraaf;Falk Struckmann;Juan Francisco Gatell;Susanne Resmark;Christian Van Horn;Mathias Hausmann;Jean-Luc Ballestra;Robert Murray
RaJ_2009-1,,,,Romeo & Juliet vs. The Living Dead,Ryan Denmark,2009,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt1344430/,Romeo and Juliet;Feature;Loose/Inspired;Comedy;Romance;Rom-Com;Zombie;Supernatural;Hannah Kauffmann;Jason Witter;Mark Chavez;Kate Schroeder;Reuben Finkelstein;Kevin R. Elder;Malcolm Madera;Shenoah Allen;George Bach;Elsa Menendez;Ross Kelly;Summer Olsson;Andy Brooks;Lucien Sims;Katy Houska;Kristin Hansen;Rusty Rutherford;Doug Montoya
RaJ_2009-2,,54b5E0meyJE,,Romeo & Julio (2009),Ivan Peric,2009,Croatia,MovingImage,44.48732,16.4603055,IMDb - https://www.imdb.com/title/tt1786654/,Romeo and Juliet;Feature;Loose/Inspired;Comedy;Parody;Musical;Toni Rinkovec;Toni Dorotic;Marko Trevizan;Ante Blajic;Ivica Djapic;Jerko Drpic-Granic;Mario Kovac;Frane Draca;Ivan Borna Jukic;Deni Koraca;Duje Dorotic;Spiro Ticic;Ivan Marusic;Marko Sajc-Budija
RaJ_2009-3,,q58iQSHhZGg,,Twilight Saga: New Moon,Chris Weitz,2009,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/The_Twilight_Saga:_New_Moon,Romeo and Juliet;Feature;Loose/Inspired;Romance;Fantasy;Action/Adventure;Drama;Teen;Supernatural;Vampire;Kristen Stewart;Robert Pattinson;Taylor Lautner;Ashley Greene;Rachelle Lefevre;Billy Burke;Peter Facinelli;Nikki Reed;Kellan Lutz;Jackson Rathbone;Anna Kendrick;Michael Sheen;Dakota Fanning
RaJ_2010-1,,aN_TZO_5m2w,,Maro Charitra (2010),Ravi Yadav,2010,India,MovingImage,21.125681,82.794998,Wikipedia - https://en.wikipedia.org/wiki/Maro_Charitra_(2010_film),Romeo and Juliet;Feature;Loose/Inspired;Drama;Romance;Varun Sandesh;Anita Galler;Shraddha Das;Aadarsh Balakrishna;Pratap K. Pothen;Janaki Sabesh;Thalaivasal Vijay;Urvashi;Naresh;Kota Srinivasa Rao;Venu Yeldandi
RaJ_2010-2,,Suso5TN4SWs,,Camp Rock 2: The Final Jam,Paul Hoen,2010,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/Camp_Rock_2:_The_Final_Jam,"Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Comedy;Romance;Musical;Demi Lovato;Joe Jonas;Nick Jonas;Kevin Jonas;Maria Canals-Barrera;Daniel Fathers;Meaghan Martin;Alyson Stoner;Anna Maria Perez De Tagle;Jasmine Richards;Roshon Fegan;Jordan ""J"" Francis;Daniel Fathers;Daniel Kash;Meaghan Martin;Chloe Bridges;Maria Canals-Barrera;Arisa Cox;Frankie Jonas"
RaJ_2011-1,,6avpvkoZQtk,,Gnomeo & Juliet,Kelly Asbury,2011,United Kingdom,MovingImage,54.633221,-3.432277,Wikipedia - https://en.wikipedia.org/wiki/Gnomeo_%26_Juliet,Romeo and Juliet;Feature;Loose/Inspired;Comedy;Romance;Rom-Com;Parody;Satire;Musical;Action/Adventure;Animation;James McAvoy;Emily Blunt;Michael Caine;Maggie Smith;Jason Statham;Patrick Stewart;Ashley Jensen;Stephen Merchant;Matt Lucas;Jim Cummings;Julie Walters;Richard Wilson;Ozzy Osbourne;Dolly Parton;Hulk Hogan;James Daniel Wilson;Tim Bentinck
RaJ_2011-2,,z4XYmJokTkM,,Romeo and Juliet in Yiddish,Eve Annenberg,2011,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt1632724/,Romeo and Juliet;Feature;Loose/Inspired;Drama;Comedy;Romance;Modernized;Lazer Weiss;Melissa Weisz;Mendy Zafir;Bubbles Yoeli Weiss;Josef Yossi Friedman;Eve Annenberg;Isaac Schoenfeld;Yelena Shmulenson;Solman Wiser;Luzer Twersky;Aaron Keller;Aron Keller;David Germano;Noam Harary;Reyna Schaechter;James Rutledge
RaJ_2012,,,,William,Sam Lara,2012,Australia,MovingImage,-26.853388,133.275154,IMDb - https://www.imdb.com/title/tt2084147/,Romeo and Juliet;Short;Loose/Inspired;Drama;Comedy;Nicholas Watson;Elle Mickel;Nicole Murray
RaJ_2013-2,,07s-cNFffDM,,Warm Bodies,Jonathan Levine,2013,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/Warm_Bodies_(film),Romeo and Juliet;Feature;Loose/Inspired;Romance;Black Comedy;Dystopian;Horror;Supernatural;Zombie;Parody;Rom-Com;Teen;Nicholas Hoult;Teresa Palmer;Rob Corddry;Dave Franco;Lio Tipton;Cory Hardrict;John Malkovich
RaJ_2013-3,,gFmyb7RlLJ8,,Make Your Move,Duane Adler,2013,South Korea;United States,MovingImage,35.901696,127.735889,Wikipedia - https://en.wikipedia.org/wiki/Make_Your_Move_(film),Romeo and Juliet;Feature;Loose/Inspired;Drama;Romance;Musical;Indie;BoA Kwon;Derek Hough;Will Yun Lee;Wesley Jonathan;Izabella Miko;Jefferson Brown;Miki Ishikawa;Dan Lauria;Rick Gonzalez;Michael Mando;Yunho
RaJ_2013-4,,YQPfeinXxcA,,Goliyon Ki Raasleela Ram-Leela,Sanjay Leela Bhansali,2013,India,MovingImage,21.125681,82.794998,Wikipedia - https://en.wikipedia.org/wiki/Goliyon_Ki_Raasleela_Ram-Leela,Romeo and Juliet;Feature;Loose/Inspired;Drama/Tragedy;Romance;Musical;Deepika Padukone;Ranveer Singh;Supriya Pathak Kapur;Richa Chadha;Gulshan Devaiah;Sharad Kelkar;Abhimanyu Singh;Raza Murad;Jameel Khan;Barkha Sengupta;Anshul Trivedi;Priyanka Chopra
RaJ_2014-2,,HsrIOGLnrCU,,Romeo and Juliet (2014),Riccardo Donna,2014,Italy,MovingImage,41.873988,12.564167,IMDb - https://www.imdb.com/title/tt2787764/,Romeo and Juliet;Series;Loose/Inspired;Drama/Tragedy;Romance;Alessandra Mastronardi;Vincent Riotta;Ken Duken;Martiño Rivas;Elena Sofia Ricci;Andrea Arcangeli;Mathieu Carrière;Hary Prinz;Sandra Ceccarelli;Andrea Bosca;Magdalena Grochowska;Tommaso Ramenghi;Sam Lucas Smith;Andy Luotto;Orfeo Orlando;Giulia Lippi
RaJ_2017-1,,x6scUJLgFRY,,Rome & Juliet (2017),Unknown,2017,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/List_of_films_based_on_Romeo_and_Juliet,Romeo and Juliet;Series;Loose/Inspired;Drama;Romance;Queer;Lesbian;LGBTQ;
RaJ_2017-2,,T-XNXyI5-pk,,Romeo & Juliet (2017),Joel Petrie,2017,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt3827726/,Romeo and Juliet;Feature;Loose/Inspired;Drama/Tragedy;Romance;Dallin Major;Devin Neff;Laurie Harrop-Purser;Madly Rosett;Brian Kocherans;Topher Rasmussen;Kaitlyn Dahl;Chris Clark;Jacob Squire;Shawn Francis Saunders;Alexander Woods;Trevor Newsome;A.J. Taysom;Tyrell Clement
RaJ_2017-3,,5K3Itgya_GM,,Romeo/Juliet,A.M. Sannazzaro,2017,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt7153070/,Romeo and Juliet;Feature;Loose/Inspired;Drama;Patricia Beach;Gabi Cuevas;Nicelle Davis;Kristina Drager;Jacquelyn Monique DuBois;Jeffrey Gardner;Joseph E. Gardner;Cynthia Johnson;Scout Kirkpatrick;Elizabeth Rhodes;LaShaeveon Rowe;Karyn Ben Singer;Clinton A. Thompson;Jesus Emanuel Vilmar
RaJ_2018,,I-DMrk3hqEE,,Little Italy,Donald Petrie,2018,Canada,MovingImage,62.393303,-96.818145,Wikipedia - https://en.wikipedia.org/wiki/Little_Italy_(2018_film),Romeo and Juliet;Feature;Loose/Inspired;Comedy;Romance;Rom-Com;Emma Roberts;Hayden Christensen;Alyssa Milano;Adam Ferrara;Gary Basaraba;Linda Kash;Andrew Phung;Cristina Rosato;Danny Aiello;Andrea Martin;Jane Seymour;Amrit Kaur;Martin Roach;Rodrigo Fernandez-Stoll
RaJ_2019-1,,6HwCA1xXRVU,,Juliet,Angie Su,2019,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt8742624/,Romeo and Juliet;Short;Loose/Inspired;Comedy;Adam Bloodgood;Marine de Vachon;Mia Hjelte;Katerina Vlasenko;Bonnie Wright
RaJ_2019-2,,nrDRTdbzjw8,,Romeo and Juliet: Beyond Words,Michael Nunn,2019,United Kingdom,MovingImage,54.633221,-3.432277,IMDb - https://www.imdb.com/title/tt10662310/,Romeo and Juliet;Feature;Loose/Inspired;Drama/Tragedy;Romance;William Bracewell;Francesca Hayward;Matthew Ball;Marcelino Sambé;James Hay;Romany Pajdak;Kristen McNally;Christopher Saunders;Bennet Gartside;Tomas Mock;Laura Morera;Tierney Heap;Beatriz Stix-Brunell
RaJ_2019-3,,9AqV9GIvIXw,,Who Killed Romeo & Juliet?,Candice Deere,2019,Australia,MovingImage,-26.853388,133.275154,IMDb - https://www.imdb.com/title/tt11880968/,Romeo and Juliet;Series;Loose/Inspired;Mystery;Claire Porter;John Irwin;Nari Deuchar;Zoie De Klerk;Katie Blood;Joseph Robinson;Alexis Phillips-Jackson;Jordan Marinucci
RaJ_2019-4,,,,Romeo & Juliet: A Millennial's Tale,Steven Lamar,2019,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt12768782/,Romeo and Juliet;Short;Loose/Inspired;Comedy;Malakai Green;Lawrence Wells;Kathryn Williams
RaJ_2019-5,,2NesVA-4d-g,,Matthew Bourne's Romeo and Juliet,Matthew Bourne,2019,United Kingdom,MovingImage,54.633221,-3.432277,IMDb - https://www.imdb.com/title/tt13639672/,Romeo and Juliet;Feature;Loose/Inspired;Romance;Musical;Paris Fitzpatrick;Cordelia Braithwaite;Dan Wright;Ben Brown;Jackson Fisch;Harrison Dowzell;Hannah Mason;Daisy May Kemp;Matthew Petty
RaJ_2021,,A5GJLwWiYSg,,West Side Story (2021),Steven Spielberg,2021,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/West_Side_Story_(2021_film),Romeo and Juliet;Feature;Loose/Inspired;Drama/Tragedy;Romance;Crime;Musical;Ansel Elgort;Rachel Zegler;Ariana DeBose;David Alvarez;Mike Faist;Brian D'Arcy James;Corey Stoll;Rita Moreno;Josh Andrés Rivera;Iris Menas;Ana Isabelle
RaJ_2022,,DVMc3rUXW-A,,Rosaline,Karen Maine,2022,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/Rosaline_(film),Romeo and Juliet;Feature;Loose/Inspired;Comedy;Romance;Rom-Com;Parody;Satire;Kaitlyn Dever;Isabela Merced;Kyle Allen;Sean Teale;Christopher McDonald;Minnie Driver;Bradley Whitford;Nico Hiraga
