objectid,filename,youtubeid,vimeoid,title,creator,date,location,format,latitude,longitude,source,subject
RaJ_1999,,czDjR-UERIw,,Solomon & Gaenor,Paul Morrison,1999,United Kingdom,MovingImage,54.633221,-3.432277,Wikipedia - https://en.wikipedia.org/wiki/Solomon_%26_Gaenor,Romeo and Juliet;Feature;Loose/Inspired;Drama/Tragedy;Romance;Religious;Ioan Gruffudd;Nia Roberts;Sue Jones-Davies;William Thomas;Mark Lewis Jones;Maureen Lipman;David Horovitch;Daniel Kaye;Bethan Ellis Owen;Elliott Cantor;Steffan Rhodri;Aled Phillips
RaJ_2000-2,,w500paj_MPU,,Romeo Must Die,Andrzej Bartkowiak,2000,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/Romeo_Must_Die,Romeo and Juliet;Feature;Loose/Inspired;Action/Adventure;Dark Comedy;Gun Fu;Martial Arts;Crime;Thriller;Jet Li;Aaliyah;Isaiah Washington;Russell Wong;DMX;Delroy Lindo;DB Woodside;Henry O;Anthony Anderson;Edoardo Ballerini;Françoise Yip;Terry Chen;Tseng Chang;Alvin Sanders;Manoj Sood
RaJ_2000-3,,eS0c0JIs7L4,,Chicken Rice War (Jiyuan qiaohe),Chee Kong Cheah (CheeK),2000,Singapore,MovingImage,1.364917,103.822872,Wikipedia - https://en.wikipedia.org/wiki/Chicken_Rice_War,Romeo and Juliet;Feature;Loose/Inspired;Comedy;Romance;Rom-Com;Modernized;Pierre Png;May Yee Lum;Catherine Sng;Gary Yuen;Kevin Murphy;Kelvin Ng;Su Ching Teh;Wui Seng Cheong;Irene Ong;Weng Kee Lee;Gary Loh;Jo Jo Struys;Randall Tan;Zalina Abdul Hamid;Mohan Sachden
RaJ_2000-4,,azrh1V_Og9o,,Alaska.de,Esther Gronenborn,2000,Germany,MovingImage,51.165707,10.452764,IMDb - https://www.imdb.com/title/tt0248628/?ref_=fn_t_1,Romeo and Juliet;Feature;Loose/Inspired;Drama;Romance;Thriller;Teen;Jana Pallaske;Frank Droese;Arthur Rakk;Toni Blume;Nele Steffen;Willhelm Benner;Andrusch Jung;Daniel Fripan;Andreas Hoppe;Susanne Sachße;Axel Prahl;Beate Pfeiffer
RaJ_2000-5,,,,Romeo e Giulietta (2000),Tina Protasoni,2000,Italy,MovingImage,41.873988,12.564167,IMDb - https://www.imdb.com/title/tt0375016/,Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Drama/Tragedy;Romance;Ballet;Ángel Corella;Alessandra Ferri;Michele Villanova;Gianni Ghisleni;Alessandro Grillo;Bryan Hewison;Maurizio Licitra;Bruna Radice;Matteo Buongiorno;Danilo Tapiletti;Lavia Vallone;Laura Costa;Sergio Sanvito
RaJ_2000-6,,bBJYpeu4fjA,,Ronny & Julia,Christjan Wegner,2000,Sweden,MovingImage,62.199806,17.637493,IMDb - https://www.imdb.com/title/tt0254044/,Romeo and Juliet;Show;Loose/Inspired;Comedy;Modernized;Alexander Bergman;Katarina Ekholm;Ruben Melin;Ola Citron;Camilla Lundén;Katarina Lundgren;Harald Leander;Mark Levengood;Moa Zaar;Marie Metso
RaJ_2001,,aQ1zZqN37Jc,,Brooklyn Babylon,Marc Levin,2001,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/Brooklyn_Babylon,Romeo and Juliet;Feature;Loose/Inspired;Drama;Romance;Modernized;Tariq Trotter (Black Thought);Karen Starc;Bonz Malone;David Vadim;Rahzel;Earl Contaste;Carol Woods;Slick Rick;Mad Cobra;Camille Cruse;Questlove
RaJ_2002-1,,aRZyymva6xo,,"Roméo & Juliette, de la haine à l'amour",Redha;Gilles Amado,2002,France,MovingImage,46.232193,2.209667,Wikipedia - https://www.imdb.com/title/tt0410532/,Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Drama/Tragedy;Romance;Musical;Damien Sargue;Cécilia Cara;Grégori Baquet;Philippe d'Avilla;Réjane Perry;Sébastien Chato;Frédéric Charter;Tom Ross;Eléonore Beaulieu;Isabelle Ferron;Jean-Claude Hadida;Essaï;Serge Le Borgne;Gérard Presgurvic
RaJ_2002-2,,LMNlVTckwfA,,Amar te duele,Fernando Sariñana,2002,Mexico,MovingImage,23.624813,-102.57867,Wikipedia - https://en.wikipedia.org/wiki/Amar_te_duele,Romeo and Juliet;Feature;Loose/Inspired;Drama/Tragedy;Romance;Modernized;Luis Fernando Peña;Martha Higareda;Ximena Sariñana;Andrea Damian;Alfonso Herrera;Daniela Torres;Armando Hernández;Pedro Damián;Patricia Bernal;Zaide Silvia Gutiérrez;Eligio Meléndez;José María de Tavira
RaJ_2002-3,,e0k2yW5ny8Y,,Barrio Wars,Paul Wynne,2002,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt0327469/,Romeo and Juliet;Feature;Loose/Inspired;Drama/Tragedy;Action/Adventure;Crime;Thriller;Modernized;Derek Barbosa (Chino XL);Sevier Crespo;Luchana Gatica;Anthony Martins;Chantelle Tibbs;Michael Aranda;Gerardo Reyes;Beny Mena;Sara Ceballos;Victor Herminio Lopez;Joe Bonny;Jade Crespo
